track,rank,name,role_affiliation,why_them,aks_tag,warm_intro_path,est_check_tier,verification,source_url
angel_hnw,1,"Raymond C. McKinney, CPA","CEO & President, The Genecov Group (Tyler's largest commercial landlord + oil/gas); director, Southside Bancshares; UT Health Tyler Board of Trustees; past chairman, Tyler Economic Development Council","Sits at the intersection of every target category: real estate/oil wealth, bank board, hospital trustee, economic development. CPA - can underwrite a note quickly.",,"Banking (strongest Jim Bullard fit) - Southside Bank board circle; alternates: TEDC, UT Health Tyler board",$100K-$250K,Search-verified,https://investors.southside.com/news/news-details/2025/Southside-Bancshares-Inc--Announces-New-Directors-and-Chief-Operating-Officer/default.aspx
angel_hnw,2,John R. 'Bob' Garrett,"Vice Chairman, Southside Bancshares; President, Fair Oil Company since 2002; residential & commercial real estate developer","Triple-category: oil/gas family enterprise (Fair Oil / R.W. Fair legacy), commercial RE, senior bank board seat. Long Tyler civic tenure.",,Banking - Southside board via Bullard's bank relationships,$250K+,Search-verified (SEC proxy excerpt),https://www.sec.gov/Archives/edgar/data/705432/000070543218000031/proxy12-31x17.htm
angel_hnw,3,Jeff Austin III,"Chairman of the Board, Austin Bank (branches across Smith County); 4th-generation East Texas banker",Family owns Austin Bank outright; personal wealth plus a bank whose lending footprint covers Tyler. Active in statewide banking circles.,,Banking - IBAT/Texas banking circles; Austin Bank commercial relationships,$100K-$250K,Search-verified,https://www.austinbank.com/our-story/our-history
angel_hnw,4,James I. Perkins,"Chairman & President, Citizens 1st Bank (Tyler); 3rd-generation banking family",Owner-operator of a private Tyler bank; family recognized with 2023 Texas Higher Education Distinguished Service Award - demonstrated large-gift philanthropy.,,"Banking - community bank chairman circles (IBAT/TBA), direct fit for Bullard",$100K-$250K,Search-verified,https://member.texasbankers.com/Magazine/magazine/Features/2023-07/23-07-Spotlight-James-Perkins.aspx
angel_hnw,5,Rogers Pope Jr.,"Chairman & CEO, Texas Bank and Trust (Longview; major Tyler presence); past chairman, Independent Bankers Association of Texas (2015-16)",Controls one of East Texas's largest family-run banks; IBAT chairmanship = deep statewide banker network.,,Banking - IBAT network; TB&T Tyler advisory circle,$100K-$250K,Search-verified,https://bankersdigest.com/texas-bank-and-trust-announces-chairmanship-transition/
angel_hnw,6,Russ Gideon,"COO, Austin Bank; Director, CHRISTUS Trinity Mother Frances Foundation board",Rare dual node: senior bank executive AND hospital-foundation director - banking warm path plus demonstrated Tyler healthcare philanthropy.,,Banking (Austin Bank via Bullard) or CHRISTUS foundation board,$50K-$100K,Search-verified,https://www.christushealth.org/connect/donate/trinity-mother-frances/team
angel_hnw,7,Dr. Kirk A. Calhoun,"Director, Southside Bancshares; President Emeritus, UT Tyler / UT Health Science Center; physician (nephrology, non-practicing)",Built UT Tyler's medical enterprise over two decades; now on a Tyler bank board. Best clinical-credibility validator an East Texas hospice raise could have. Now president of UNT Health Fort Worth - confirm continued Tyler presence.,,"Banking - Southside board; alternates: UT Tyler leadership alumni, W. Fair Foundation circle",$50K-$100K,Search-verified,https://bankersdigest.com/calhoun-former-university-of-texas-tyler-president-elected-to-southside-bancshares-board/
angel_hnw,8,Joe Cavender (with brothers Mike & Clay),"President, Cavender's Boot City (Tyler HQ, 100+ stores in 15 states; family-owned)",One of Tyler's wealthiest operating families; company sits on the TEDC board; long civic sponsorship record. Private family - can move quickly on a $250K note.,,Chamber/TEDC circles; Tyler retail/business community,$250K+,Search-verified,https://www.tylertodaymagazine.com/local/cavenders-boot-city-celebrating-60-years/
angel_hnw,9,Soules family - Mark Soules & John Soules Jr. (Co-CEOs); John Soules Sr. (founder),"Soules Foods, Tyler HQ; nation's leading fajita processor, 4th-generation family leadership",Major private food-manufacturing wealth; a John Soules sits on the CHRISTUS Trinity Mother Frances Foundation board - direct evidence of healthcare philanthropy.,,CHRISTUS TMF Foundation board; Tyler Chamber; UT Tyler events,$100K-$250K,Search-verified,https://www.soulesfoods.com/our-story/
angel_hnw,10,Brad Brookshire (with Ann Warmack Brookshire),"Retired Chairman & CEO, Brookshire Grocery Co. (Tyler HQ, 200+ stores); retired March 2026 after 49 years","Family net worth ~$1B (Forbes-listed); just exited CEO role - classic legacy-phase profile; SMU/TJC scholarship philanthropy. More philanthropist than note investor, but unmatched local capacity.",,Tyler Chamber (Brookshire's is an anchor member); TJC/SMU philanthropy circles; church networks (specific congregation unverified),$250K+ (if interested at all),Search-verified,https://www.ketk.com/news/local-news/brookshire-grocery-ceo-retiring-after-49-years-in-familys-business/
angel_hnw,11,Robert Peltier family,"Founder/owner, Peltier Enterprises - 6 auto dealerships (Chevrolet, Nissan, Kia, Subaru) in Tyler/Longview",35+ year dealer group; gives $50K/yr in scholarships - $50K is literally their annual giving unit. Dealers understand cash-flowing local service businesses.,,Tyler Chamber; East Texas auto/commercial banking relationships (floorplan lenders may connect to Bullard),$50K-$100K,Search-verified,https://www.peltier.net/dealership/about
angel_hnw,12,Sam Roosth & Steve Roosth,"Sam: Roosth Production Co. (oil & gas, Tyler); Steve: family real estate arm; heirs to Roosth & Genecov oil fortune",Century-old Tyler oil/land family; endowed a UT Tyler chair in 2000; royalty-style periodic income fits the quarterly-interest note mental model.,,Genecov Group connection (Raymond McKinney manages the affiliated side); Tyler oil circles; Jewish community philanthropy network,$50K-$100K each,Search-verified,https://business.tylertexas.com/list/member/roosth-production-co-3518
angel_hnw,13,Robyn Rogers,"President, The Robert M. Rogers Foundation (Tyler; $34-52M assets; $10M gift to UT Tyler School of Medicine, 2022)","Foundation focus (East Texas behavioral health) is mission-adjacent to hospice. Foundation money would be grants, not notes - target personal capacity and her endorsement network.",,UT Tyler School of Medicine / UT Health leadership; Philanthropy Southwest,Philanthropic ally; personal check $50K (appetite unverified),Search-verified,https://www.uthct.edu/the-robert-m-rogers-foundation-gifts-10-million-to-the-ut-tyler-school-of-medicine/news/2022/07/18/34647/
angel_hnw,14,Mewbourne family (current principals unverified),"Owners (100%), Mewbourne Oil Co. - Tyler-HQ'd, largest private oil producer in the U.S.; founder Curtis Mewbourne died June 2026",Deepest capacity in Tyler by far; estate/legacy transition may open family-office-style allocations. Access is hard; only pursue with a genuine mutual contact.,,Tyler oil & gas circles; UT-system engineering philanthropy,$250K+ (access-limited),Search-verified,https://www.mewbourne.com/meet-our-founder/
angel_hnw,15,Randall Childress,"Chair, CHRISTUS Trinity Mother Frances Foundation board; Edward Jones financial advisor",Chairs the region's flagship hospital foundation - the best door-opener into Tyler's healthcare-philanthropy donor base; as a wealth advisor can also involve clients (506(b): pre-existing relationships only).,,CHRISTUS TMF Foundation; Edward Jones/wealth-management circles,$50K (connector value > check),Search-verified,https://www.christushealth.org/connect/donate/trinity-mother-frances/team
angel_hnw,16,Tom Perkins,"2025-26 Board Chair, Tyler Area Chamber of Commerce; Edward Jones financial advisor",Current chamber chair = fastest legitimizer for a new Tyler healthcare employer; advisor practice means HNW client network.,,Tyler Chamber (direct),$50K (connector),Search-verified,https://tylerpaper.com/2025/10/09/tyler-area-chamber-of-commerce-annual-meeting-celebrates-125-years-awarding-dedicated-citizens/
angel_hnw,17,Terry Giles,"Franchise owner, Dairy Queens of East Texas; Director, CHRISTUS TMF Foundation",Multi-unit franchise wealth plus proven healthcare-philanthropy engagement.,,CHRISTUS TMF Foundation board,$50K-$100K,Search-verified,https://www.christushealth.org/connect/donate/trinity-mother-frances/team
angel_hnw,18,Steve Hellmuth,"Owner, Dakota's Restaurant (Tyler); Director, CHRISTUS TMF Foundation",Local operating-business owner with hospital-foundation seat; plausible smallest-tier note.,,CHRISTUS TMF Foundation board,$50K,Search-verified,https://www.christushealth.org/connect/donate/trinity-mother-frances/team
angel_hnw,19,Hibbs-Hallmark & Company principals,Family-owned Tyler insurance agency (one of the largest independent agencies in East Texas),Named in a local wealthiest-Tyler-families roundup; insurance principals understand actuarial/healthcare risk. Confirm current ownership before outreach.,,Tyler Chamber; commercial insurance / banking referral circles,$50K-$100K (guess),UNVERIFIED (weak source),https://knue.com/richest-families-tyler-tx/
